event_id,user_id,timestamp,city,latitude,longitude,typing_speed_wpm,click_through_rate,login_hour,is_anomaly,anomaly_type,implied_speed_kmh
U018_N0000,U018,2024-01-01 06:09:24.552661,Houston,29.716560076494506,-95.35093846876134,69.61488833232337,0.3419196324456354,6,0,none,
U043_N0000,U043,2024-01-01 06:16:42.092358,Houston,29.806377913641633,-95.32333773898402,80.27789697902271,0.3781817401024679,6,0,none,
U028_N0000,U028,2024-01-01 06:44:03.304089,Seattle,47.56449354524527,-122.3631909414647,80.27839299975918,0.32865918388202847,6,0,none,
U005_N0000,U005,2024-01-01 06:59:32.442271,Houston,29.764795948897373,-95.374562266544,75.37836278920246,0.2775890729161656,6,0,none,
U003_N0000,U003,2024-01-01 07:03:17.518751,Boston,42.39974304098189,-71.05734215333408,61.22806250340249,0.4108029469543899,7,0,none,
U025_N0000,U025,2024-01-01 07:05:34.919405,Boston,42.317242231286066,-71.08047393699141,80.03187477695474,0.3397176379212745,7,0,none,
U036_N0000,U036,2024-01-01 07:16:48.092082,New York,40.72814070600384,-74.02847901528389,71.4219593572543,0.317399681924623,7,0,none,
U041_N0000,U041,2024-01-01 07:43:20.730517,Boston,42.36473777534997,-71.10379298632915,75.53067051857704,0.3890534771317077,7,0,none,
U046_N0000,U046,2024-01-01 07:49:54.455819,Houston,29.764392956252905,-95.33990125913004,57.724613055950925,0.31192635457873247,7,0,none,
U029_N0000,U029,2024-01-01 07:50:29.214901,Chicago,41.91045325957432,-87.61844914447349,52.267887928629676,0.3206230414687404,7,0,none,
U030_N0000,U030,2024-01-01 07:51:53.040693,Chicago,41.90791041873387,-87.60752106988045,71.77905476090014,0.3764903925595984,7,0,none,
U037_N0000,U037,2024-01-01 07:54:08.091268,Denver,39.77602872648146,-104.93163081415828,74.2075189075086,0.26444003124643767,7,0,none,
U049_N0000,U049,2024-01-01 08:00:02.980540,Houston,29.760502877138702,-95.37281254132287,78.28782871453193,0.14529761420437434,8,0,none,
U038_N0000,U038,2024-01-01 08:01:04.918909,Chicago,41.89083153660233,-87.61263666451615,56.458431592307726,0.3061960111246112,8,0,none,
U050_N0000,U050,2024-01-01 08:02:33.859051,Chicago,41.900195377732864,-87.60916110318905,55.88457017724722,0.31088645903710327,8,0,none,
U042_N0000,U042,2024-01-01 08:03:44.291596,Seattle,47.638797026740825,-122.31032177264353,53.582709364540406,0.3210854408883008,8,0,none,
