event_id,user_id,timestamp,city,latitude,longitude,typing_speed_wpm,click_through_rate,login_hour,is_anomaly,anomaly_type,implied_speed_kmh,prev_timestamp,prev_latitude,prev_longitude,hours_since_last_login,distance_from_last_login,velocity_kmh,predict,predicted_binary,anomaly_score
U001_N0000,U001,2024-01-01 10:14:12.949501,Chicago,41.839997491581805,-87.63407511080341,75.81596384041863,0.3076775711137769,10,0,none,,,,,,,0.0,1,0,-0.570955954542357
U001_N0001,U001,2024-01-02 09:47:38.060735,Chicago,41.83564115790272,-87.60780012277331,69.08482235714978,0.3259750683973069,9,0,none,,2024-01-01 10:14:12.949501,41.839997491581805,-87.63407511080341,23.556975342777775,2.2299779477100734,0.09466316941210164,1,0,-0.3835316917734541
U001_N0002,U001,2024-01-03 09:44:02.728662,Chicago,41.83906064345329,-87.6181613990667,68.38633571523312,0.3487853690369069,9,0,none,,2024-01-02 09:47:38.060735,41.83564115790272,-87.60780012277331,23.940185535277777,0.9388222789722359,0.039215330123018734,1,0,-0.40723570807033316
U001_N0003,U001,2024-01-04 10:58:57.626068,Chicago,41.91599404067363,-87.61196924614121,67.50671749229656,0.3418932421670508,10,0,none,,2024-01-03 09:44:02.728662,41.83906064345329,-87.6181613990667,25.248582612777778,8.569951356348701,0.33942306733731775,1,0,-0.42588045026263
U001_N0004,U001,2024-01-05 08:02:51.226412,Chicago,41.831596625222026,-87.65691061743777,72.29698493783913,0.3742544903220409,8,0,none,,2024-01-04 10:58:57.626068,41.91599404067363,-87.61196924614121,21.064888984444448,10.095353852789806,0.47925027567174977,1,0,-0.46127899785808607
U001_N0005,U001,2024-01-06 10:26:58.024039,Chicago,41.84733646535078,-87.64089393924267,71.80427735799506,0.3149086469263771,10,0,none,,2024-01-05 08:02:51.226412,41.831596625222026,-87.65691061743777,26.401888229722225,2.1962946515750494,0.08318702936945797,1,0,-0.43932480527671164
U001_N0006,U001,2024-01-07 08:18:39.709253,Chicago,41.92695846277646,-87.60248671766388,67.20812996405452,0.3726254481412571,8,0,none,,2024-01-06 10:26:58.024039,41.84733646535078,-87.64089393924267,21.86157922611111,9.407119720480889,0.4303037590827464,1,0,-0.4196670941917142
U001_N0007,U001,2024-01-08 10:05:08.462906,Chicago,41.88208342600259,-87.58388279756507,71.33967947138999,0.3694544088786001,10,0,none,,2024-01-07 08:18:39.709253,41.92695846277646,-87.60248671766388,25.7746537925,5.222001048248412,0.2026021800443321,1,0,-0.4084261818445665
U001_N0008,U001,2024-01-09 08:10:13.343401,Chicago,41.84409242249748,-87.5997803019246,74.3286391591767,0.3160099049292024,8,0,none,,2024-01-08 10:05:08.462906,41.88208342600259,-87.58388279756507,22.08468902638889,4.424790936665007,0.20035559166705244,1,0,-0.3621583674181638
U001_N0009,U001,2024-01-10 10:18:21.017320,Chicago,41.84988424040888,-87.60886580472513,71.35392616122472,0.3952332356773841,10,0,none,,2024-01-09 08:10:13.343401,41.84409242249748,-87.5997803019246,26.1354649775,0.9905198369685764,0.03789945339871757,1,0,-0.4516262839208787
U001_N0010,U001,2024-01-11 08:06:20.856622,Chicago,41.89232981268276,-87.64691019751473,71.95893645498523,0.3359775000906145,8,0,none,,2024-01-10 10:18:21.017320,41.84988424040888,-87.60886580472513,21.799955361666665,5.674426232945717,0.26029531431627173,1,0,-0.37174782219263736
U001_N0011,U001,2024-01-12 10:47:41.310044,Chicago,41.88912977877077,-87.652527820701,58.75159811499029,0.3858660203893179,10,0,none,,2024-01-11 08:06:20.856622,41.89232981268276,-87.64691019751473,26.689014839444447,0.5855259533920983,0.021938837267486286,1,0,-0.47857730225549344
U001_N0012,U001,2024-01-13 10:31:59.226886,Chicago,41.83404335895385,-87.60893371103141,72.89475416235956,0.3370654306110494,10,0,none,,2024-01-12 10:47:41.310044,41.88912977877077,-87.652527820701,23.73831023388889,7.110067099544359,0.29951866958895856,1,0,-0.4122951786114733
U001_N0013,U001,2024-01-14 10:31:01.996191,Chicago,41.91957635956735,-87.63246297768178,77.94511743913279,0.3663143666106417,10,0,none,,2024-01-13 10:31:59.226886,41.83404335895385,-87.60893371103141,23.98410258472222,9.70829499885335,0.4047804150503216,1,0,-0.4647597536452213
U001_N0014,U001,2024-01-15 10:08:55.770807,Chicago,41.85030612247348,-87.5857146429442,63.83313437115217,0.4080036049150957,10,0,none,,2024-01-14 10:31:01.996191,41.91957635956735,-87.63246297768178,23.631604059999997,8.620046215982798,0.36476771505212835,1,0,-0.4656762109762654
U001_N0015,U001,2024-01-16 09:24:42.719539,Chicago,41.91081203795645,-87.61665962434896,70.25929757437126,0.3556673007759676,9,0,none,,2024-01-15 10:08:55.770807,41.85030612247348,-87.5857146429442,23.263041314444447,7.199211796798925,0.30946993127372396,1,0,-0.38274373258696687
U001_N0016,U001,2024-01-17 10:41:09.351840,Chicago,41.92068284415458,-87.65278677506153,69.85147969386402,0.2891111860121204,10,0,none,,2024-01-16 09:24:42.719539,41.91081203795645,-87.61665962434896,25.274064528055558,3.1844108825320325,0.12599520267098974,1,0,-0.420612712840549
U001_N0017,U001,2024-01-18 10:29:25.668986,Chicago,41.87174110031488,-87.65778921895293,67.26014064145602,0.310995694172576,10,0,none,,2024-01-17 10:41:09.351840,41.92068284415458,-87.65278677506153,23.804532540555556,5.457801627464928,0.22927573218110975,1,0,-0.4060441196288228
