event_id,user_id,timestamp,city,latitude,longitude,typing_speed_wpm,click_through_rate,login_hour,is_anomaly,anomaly_type,resources_accessed,data_volume_mb,implied_speed_kmh,prev_timestamp,prev_latitude,prev_longitude,hours_since_last_login,distance_from_last_login,velocity_kmh,if_predict,if_predicted_binary,anomaly_score,svm_predict,svm_predicted_binary,anomaly_score_normalized,composite_risk_score,attck_technique
U001_N0000,U001,2024-01-01 10:14:12.949501,Chicago,41.839997491581805,-87.63407511080341,75.81596384041863,0.3076775711137769,10,0,none,4.0,0.7,,,,,,,0.0,1,0,-0.5120270316139194,-1,1,0.388797110083435,0.4443985550417175,N/A
U001_N0001,U001,2024-01-02 09:47:38.060735,Chicago,41.85123391106783,-87.66181750327928,66.11681239531916,0.3061234714315565,9,0,none,3.0,0.57,,2024-01-01 10:14:12.949501,41.839997491581805,-87.63407511080341,23.556975342777775,2.6157145272203826,0.11103779195584727,1,0,-0.40445038440714787,1,0,0.1104488921266703,0.05522444606333515,N/A
U001_N0002,U001,2024-01-03 09:00:39.999288,Chicago,41.83466656632137,-87.58262444811585,66.83474865607313,0.3330450262180097,9,0,none,3.0,2.4,,2024-01-02 09:47:38.060735,41.85123391106783,-87.66181750327928,23.21720515361111,6.81391326043399,0.29348550849903576,1,0,-0.3864570052738264,1,0,0.06389208684574499,0.031946043422872494,N/A
U001_N0003,U001,2024-01-04 08:55:05.039190,Chicago,41.834645041272005,-87.61924551480985,65.9724439735603,0.3809843777833063,8,0,none,2.0,2.69,,2024-01-03 09:00:39.999288,41.83466656632137,-87.58262444811585,23.906955528333334,3.033994219607231,0.12690843114722375,1,0,-0.38342078651282785,1,0,0.05603605021145164,0.02801802510572582,N/A
U001_N0004,U001,2024-01-05 10:23:22.546742,Chicago,41.84733646535078,-87.64089393924267,63.4682244423407,0.3657312980126824,10,0,none,3.0,5.44,,2024-01-04 08:55:05.039190,41.834645041272005,-87.61924551480985,25.471529875555554,2.2820340395321628,0.08959155773843717,1,0,-0.4196332536252369,1,0,0.14973366907461438,0.07486683453730719,N/A
U001_N0005,U001,2024-01-06 09:38:51.983789,Chicago,41.83313132924556,-87.5957715225405,58.08204198997132,0.3013309286120473,9,0,none,5.0,6.18,,2024-01-05 10:23:22.546742,41.84733646535078,-87.64089393924267,23.258176957499998,4.058018199022947,0.17447705408890052,1,0,-0.3921367335565145,1,0,0.07858804816275977,0.039294024081379886,N/A
U001_N0006,U001,2024-01-07 10:29:43.646383,Chicago,41.9128737509152,-87.64432466733064,61.05724215640542,0.3568315165241792,10,0,none,2.0,3.31,,2024-01-06 09:38:51.983789,41.83313132924556,-87.5957715225405,24.847684053888887,9.735724175964718,0.39181616100921846,1,0,-0.44643920577196106,1,0,0.21909248629387157,0.10954624314693578,N/A
U001_N0007,U001,2024-01-08 08:07:06.527720,Chicago,41.83156364067412,-87.63765985192936,61.1583792511573,0.3112615452559602,8,0,none,4.0,8.25,,2024-01-07 10:29:43.646383,41.9128737509152,-87.64432466733064,21.62302259361111,9.058097311240482,0.4189098573997167,1,0,-0.40970104062720875,1,0,0.12403465483545217,0.06201732741772609,N/A
U001_N0008,U001,2024-01-09 10:30:55.799140,Chicago,41.83740446517341,-87.64415342714557,73.63011381967085,0.2827606533595414,10,0,none,5.0,4.02,,2024-01-08 08:07:06.527720,41.83156364067412,-87.63765985192936,26.39701983888889,0.8433488063543333,0.03194863706212344,1,0,-0.4729663689890396,1,0,0.28772995363127407,0.14386497681563704,N/A
U001_N0009,U001,2024-01-10 08:32:59.364556,Chicago,41.902960617833806,-87.61624425286448,68.6136626161882,0.3832281008571217,8,0,none,2.0,9.73,,2024-01-09 10:30:55.799140,41.83740446517341,-87.64415342714557,22.034323726666667,7.647054254012891,0.3470519154058799,1,0,-0.42049200264540726,1,0,0.15195563142093205,0.07597781571046602,N/A
U001_N0010,U001,2024-01-11 10:14:02.030556,Chicago,41.85560683227614,-87.67595664104616,72.65432497743615,0.3184917545647483,10,0,none,5.0,1.52,,2024-01-10 08:32:59.364556,41.902960617833806,-87.61624425286448,25.68407388888889,7.222524685378254,0.28120635054327453,1,0,-0.4483332816664188,1,0,0.223993295750071,0.1119966478750355,N/A
U001_N0011,U001,2024-01-12 10:09:59.206393,Chicago,41.877537022318215,-87.62367244280236,65.06347409259067,0.3600445077330781,10,0,none,4.0,4.4,,2024-01-11 10:14:02.030556,41.85560683227614,-87.67595664104616,23.932548843611112,4.968998596608071,0.20762513132547372,1,0,-0.4107898029794507,1,0,0.12685176308704582,0.06342588154352291,N/A
U001_N0012,U001,2024-01-13 10:36:19.335008,Chicago,41.89947849330397,-87.59195321609847,72.692269642946,0.2844080695342597,10,0,none,2.0,8.78,,2024-01-12 10:09:59.206393,41.877537022318215,-87.62367244280236,24.438924615277777,3.584226621148056,0.1466605702816976,1,0,-0.43470516631615125,1,0,0.1887313525649016,0.0943656762824508,N/A
U001_N0013,U001,2024-01-14 09:26:46.733049,Chicago,41.88393422419157,-87.59925598448359,67.42727049186698,0.3700118050523997,9,0,none,2.0,3.09,,2024-01-13 10:36:19.335008,41.89947849330397,-87.59195321609847,22.840943900277775,1.8310972504523944,0.0801673196364764,1,0,-0.403702106143908,1,0,0.10851276633620699,0.054256383168103495,N/A
U001_N0014,U001,2024-01-15 10:19:31.098048,Chicago,41.87174110031488,-87.65778921895293,63.87834929724952,0.3293782042803699,10,0,none,4.0,2.1,,2024-01-14 09:26:46.733049,41.88393422419157,-87.59925598448359,24.878990277499998,5.032193716928737,0.20226679864414515,1,0,-0.4125218035964419,1,0,0.13133321233980866,0.06566660616990433,N/A
U001_N0015,U001,2024-01-16 08:35:55.900915,Chicago,41.8364892247109,-87.65460845860656,73.06308078517269,0.3009026061627672,8,0,none,4.0,3.36,,2024-01-15 10:19:31.098048,41.87174110031488,-87.65778921895293,22.273556351944446,3.928672284807028,0.1763828022220646,1,0,-0.37540602938627055,1,0,0.0352983397374903,0.01764916986874515,N/A
U001_N0016,U001,2024-01-17 10:01:48.414378,Chicago,41.857864646423664,-87.58917341140334,81.2899237865163,0.3200984166369047,10,0,none,5.0,4.75,,2024-01-16 08:35:55.900915,41.8364892247109,-87.65460845860656,25.43125373972222,5.918368152292209,0.23272026667910767,1,0,-0.4468713782717814,1,0,0.22021070710013735,0.11010535355006867,N/A
U001_N0017,U001,2024-01-18 10:47:21.303203,Chicago,41.89721355474059,-87.60383803846712,72.9288729593051,0.3067112867496512,10,0,none,5.0,4.97,,2024-01-17 10:01:48.414378,41.857864646423664,-87.58917341140334,24.759135784722222,4.540728555318745,0.18339608437062774,1,0,-0.4289426541632843,1,0,0.17382119287548758,0.08691059643774379,N/A
U001_N0018,U001,2024-01-19 08:58:38.275220,Chicago,41.84507175439654,-87.62918012232592,70.05839685490157,0.3746736971314676,8,0,none,5.0,6.94,,2024-01-18 10:47:21.303203,41.89721355474059,-87.60383803846712,22.188047782499996,6.165935801036532,0.2778944709998185,1,0,-0.39123796698444097,1,0,0.07626254276552491,0.038131271382762455,N/A
U001_N0019,U001,2024-01-20 09:12:56.681034,Chicago,41.881209305829934,-87.6573504224802,63.66219465545934,0.362030482166848,9,0,none,2.0,4.28,,2024-01-19 08:58:38.275220,41.84507175439654,-87.62918012232592,24.238446059444446,4.646385179941266,0.19169484580595936,1,0,-0.38392919491399113,1,0,0.0573515269076722,0.0286757634538361,N/A
U001_N0020,U001,2024-01-21 08:37:28.093258,Chicago,41.84134735212406,-87.58753063817214,69.30195901464599,0.3288169839107129,8,0,none,5.0,2.16,,2024-01-20 09:12:56.681034,41.881209305829934,-87.6573504224802,23.408725617777776,7.285507127975279,0.3112304038645442,1,0,-0.38972262449552014,1,0,0.07234168361684223,0.03617084180842112,N/A
U001_N0021,U001,2024-01-22 08:16:41.019237,Chicago,41.85418522909005,-87.67068972321941,61.77350598567087,0.3907158751859863,8,0,none,4.0,7.15,,2024-01-21 08:37:28.093258,41.84134735212406,-87.58753063817214,23.653590549722225,7.034540822494081,0.29739843545979916,1,0,-0.3767140106707591,1,0,0.03868266402265241,0.019341332011326207,N/A
