event_id,user_id,timestamp,city,latitude,longitude,typing_speed_wpm,click_through_rate,login_hour,is_anomaly,anomaly_type,resources_accessed,data_volume_mb,implied_speed_kmh
U016_N0000,U016,2024-01-01 06:02:38.824357,Houston,29.775377792295618,-95.38129499880651,72.18038883354754,0.3319360875768158,6,0,none,3.0,7.59,
U012_N0000,U012,2024-01-01 06:08:19.781958,Chicago,41.90621296204503,-87.58638234358334,53.58261962778713,0.4031206243496951,6,0,none,2.0,5.0,
U031_N0000,U031,2024-01-01 06:11:02.620006,Atlanta,33.77578120318921,-84.40383091886997,83.39215481149317,0.3220247022281232,6,0,none,3.0,2.71,
U045_N0000,U045,2024-01-01 06:14:46.450044,New York,40.7351741879506,-73.97586250338641,63.02817377759045,0.283311267247775,6,0,none,3.0,8.71,
U005_N0000,U005,2024-01-01 06:56:11.935997,Houston,29.749597047266246,-95.3284909931593,71.30640361287536,0.22932151663136296,6,0,none,5.0,5.8,
U009_N0000,U009,2024-01-01 07:03:32.192111,Atlanta,33.72845413856769,-84.39569662936624,64.14229184750916,0.44597706249048885,7,0,none,4.0,2.65,
U043_N0000,U043,2024-01-01 07:05:05.588520,Houston,29.801356255583933,-95.35183725016402,68.22087489332733,0.31195671487552595,7,0,none,4.0,4.51,
U006_N0000,U006,2024-01-01 07:05:32.821470,Los Angeles,34.08918721448107,-118.24661825804235,63.57347415187187,0.3322552330735915,7,0,none,5.0,6.91,
U033_N0000,U033,2024-01-01 07:05:40.520548,Seattle,47.64081187549853,-122.31879990624431,61.947273714140664,0.4059741670777468,7,0,none,4.0,1.96,
U014_N0000,U014,2024-01-01 07:07:56.903510,Houston,29.741691301381856,-95.37326126645522,63.60478192303934,0.3426118526443162,7,0,none,2.0,1.44,
U002_N0000,U002,2024-01-01 07:18:56.537792,New York,40.69581627180329,-74.04864424078004,56.87168342634397,0.32783157083953063,7,0,none,3.0,8.4,
U035_N0000,U035,2024-01-01 07:21:19.959938,Boston,42.33776194996194,-71.02017614017998,67.37803163008046,0.26190490195119165,7,0,none,3.0,1.71,
U040_N0000,U040,2024-01-01 07:29:08.647444,Chicago,41.887779145496054,-87.60696947230188,56.54990705108531,0.3535566653826262,7,0,none,5.0,0.85,
U041_N0000,U041,2024-01-01 07:36:21.845198,Boston,42.40139981760397,-71.0435606585191,57.81733456984701,0.3908063941216004,7,0,none,5.0,1.5,
U042_N0000,U042,2024-01-01 07:37:02.133803,Seattle,47.61183582663019,-122.33036251920271,59.9250902265871,0.4219161053745003,7,0,none,2.0,5.32,
U013_N0000,U013,2024-01-01 07:37:03.526527,Houston,29.77219367337567,-95.35932071041788,68.82842394961128,0.345270625499498,7,0,none,2.0,5.85,
U026_N0000,U026,2024-01-01 07:54:48.695985,Los Angeles,34.02687469452897,-118.23704215834857,65.06857212211176,0.3493383586417416,7,0,none,4.0,8.26,
U044_N0000,U044,2024-01-01 07:54:52.055415,Chicago,41.89803521921519,-87.64059063514279,60.96726089220385,0.4573875045318715,7,0,none,5.0,8.1,
U015_N0000,U015,2024-01-01 08:00:52.542907,New York,40.683405777501754,-74.0550218998477,80.43766385843453,0.4899144615831925,8,0,none,4.0,1.86,
U050_N0000,U050,2024-01-01 08:04:38.949633,Chicago,41.90530996797717,-87.65421909515328,66.79698306616834,0.31426677321631746,8,0,none,4.0,9.67,
U047_N0000,U047,2024-01-01 08:06:55.159613,Boston,42.35059614563396,-71.05656120357142,54.87904676941535,0.30974059207539134,8,0,none,3.0,2.95,
U027_N0000,U027,2024-01-01 08:15:27.750958,Houston,29.734684890529827,-95.3890751482375,62.484590910682385,0.309288822834009,8,0,none,4.0,3.6,
U048_N0000,U048,2024-01-01 08:16:18.899700,Chicago,41.923327350045774,-87.62036662915374,50.8424557844977,0.3515501617415599,8,0,none,4.0,3.43,
U025_N0000,U025,2024-01-01 08:16:18.968849,Boston,42.375953031902995,-71.05523693486198,74.06973411491401,0.24422068933963414,8,0,none,5.0,6.15,
U010_N0000,U010,2024-01-01 08:17:43.607530,New York,40.75150015377476,-73.97561205887692,71.86637433878607,0.2241593362771971,8,0,none,3.0,7.46,
U039_N0000,U039,2024-01-01 08:18:34.413322,Atlanta,33.77595556035068,-84.3816907256536,63.675982428494954,0.335663177344821,8,0,none,2.0,0.58,
U018_N0000,U018,2024-01-01 08:21:51.212662,Houston,29.7951484449314,-95.35908046086067,63.354877696751046,0.29960314698522483,8,0,none,4.0,6.56,
U029_N0000,U029,2024-01-01 08:25:22.358261,Chicago,41.92327322704204,-87.64941418920051,71.04986645133438,0.4091050531259173,8,0,none,5.0,4.03,
U049_N0000,U049,2024-01-01 08:30:38.308308,Houston,29.76899952913621,-95.41493518951351,60.94820563067301,0.268678278370072,8,0,none,3.0,2.48,
U028_N0000,U028,2024-01-01 08:34:13.424606,Seattle,47.566008515722274,-122.28270980288033,52.99461237652804,0.4643719355929953,8,0,none,4.0,8.79,
U036_N0000,U036,2024-01-01 08:34:17.089727,New York,40.72924454812416,-73.98202389447209,79.1893773841537,0.29527567739635924,8,0,none,4.0,8.93,
U008_N0000,U008,2024-01-01 08:35:59.348543,Chicago,41.9053734070428,-87.65844992411324,52.50198141869565,0.3735119026566391,8,0,none,2.0,1.56,
U019_N0000,U019,2024-01-01 08:43:49.083417,Denver,39.73379639639626,-104.99450049589616,46.86804106230684,0.3677851359703168,8,0,none,4.0,8.78,
U037_N0000,U037,2024-01-01 08:44:49.237656,Denver,39.71645162185853,-105.02335131969852,82.55514241097903,0.2648262002413106,8,0,none,3.0,3.13,
U046_N0000,U046,2024-01-01 08:45:17.919352,Houston,29.7624540022704,-95.35552981011882,62.50376334286589,0.35970581951399255,8,0,none,5.0,4.55,
U003_N0000,U003,2024-01-01 08:59:16.300896,Boston,42.38682734138645,-71.06822332178326,67.93107672599976,0.41553374648541574,8,0,none,3.0,0.53,
U017_N0000,U017,2024-01-01 08:59:22.435326,Atlanta,33.745009526859086,-84.43778655489704,67.46940032886388,0.2860684292106983,8,0,none,3.0,7.6,
U011_N0000,U011,2024-01-01 09:01:09.306562,New York,40.7114489602312,-73.97431646502768,73.29202732405969,0.13213198918260055,9,0,none,2.0,8.08,
U004_N0000,U004,2024-01-01 09:01:18.860650,Houston,29.7331947096116,-95.38090940040945,84.00940744969617,0.25185950562476644,9,0,none,3.0,3.11,
U022_N0000,U022,2024-01-01 09:04:27.296052,Los Angeles,34.067605600501324,-118.25430163078599,55.08794675840077,0.4331356654574886,9,0,none,3.0,4.25,
U024_N0000,U024,2024-01-01 09:06:16.827943,Seattle,47.57599408023669,-122.35222359505228,78.53690188078487,0.379318958647133,9,0,none,3.0,7.4,
U032_N0000,U032,2024-01-01 09:11:32.953876,Chicago,41.877151637139605,-87.58619206367237,53.15712073360007,0.22958614449376144,9,0,none,5.0,7.29,
U038_N0000,U038,2024-01-01 09:12:59.434425,Chicago,41.837702669637125,-87.64016387137332,61.10939595395136,0.298055742241437,9,0,none,3.0,9.24,
U034_N0000,U034,2024-01-01 09:13:16.143881,Seattle,47.64429406398772,-122.32134414392526,73.4895374211337,0.32168377511513235,9,0,none,5.0,5.4,
U023_N0000,U023,2024-01-01 09:17:29.262196,Atlanta,33.79357968408954,-84.39967705273192,62.42933935376986,0.26986150384685886,9,0,none,4.0,1.16,
U007_N0000,U007,2024-01-01 09:17:59.244791,Chicago,41.9042881493668,-87.60620826066459,72.17931041487485,0.3028099725913104,9,0,none,3.0,4.56,
U021_N0000,U021,2024-01-01 09:44:17.398320,New York,40.72065258670506,-74.04962698354575,47.109233326029376,0.32833918645759186,9,0,none,2.0,3.56,
U020_N0000,U020,2024-01-01 09:55:26.332462,Boston,42.384180647524616,-71.03432950898886,71.94019306397826,0.1618399117081339,9,0,none,2.0,7.97,
U030_N0000,U030,2024-01-01 10:03:57.934200,Chicago,41.870754293793425,-87.6571922405897,52.6611669910321,0.40623157799087656,10,0,none,4.0,7.75,
U001_N0000,U001,2024-01-01 10:14:12.949501,Chicago,41.839997491581805,-87.63407511080341,75.81596384041863,0.30767757111377697,10,0,none,4.0,0.7,
U002_N0001,U002,2024-01-02 06:01:25.318058,New York,40.71519068387745,-74.00390620284647,52.94940363407258,0.3570010614343803,6,0,none,5.0,5.06,
U016_N0001,U016,2024-01-02 06:03:52.537452,Houston,29.76125839031325,-95.36358052082014,76.07221323308049,0.34614866374078684,6,0,none,4.0,4.24,
U012_N0001,U012,2024-01-02 06:17:31.765500,Chicago,41.857143086427605,-87.67962975931675,61.00890068894644,0.3481242647658545,6,0,none,3.0,7.33,
U027_N0001,U027,2024-01-02 06:19:47.340387,Houston,29.78467216016841,-95.40901402429473,59.31896699976336,0.32116894613951813,6,0,none,3.0,1.59,
U049_N0001,U049,2024-01-02 06:24:40.047164,Houston,29.73080851904813,-95.3701599574338,60.95802134753958,0.3242809510756838,6,0,none,2.0,0.76,
U036_N0001,U036,2024-01-02 06:34:28.404660,New York,40.72578472389214,-74.0231479907774,84.91086658779027,0.3401457099792381,6,0,none,2.0,4.19,
U031_N0001,U031,2024-01-02 06:45:09.578736,Atlanta,33.75377325707832,-84.35429158221858,75.28355972885294,0.3140881742029521,6,0,none,4.0,4.24,
U028_N0001,U028,2024-01-02 06:58:05.292929,Seattle,47.63696161773548,-122.34798749504053,70.04020421869551,0.4456553599690626,6,0,none,3.0,8.68,
U041_N0001,U041,2024-01-02 07:00:49.754122,Boston,42.31254323413619,-71.01168065902519,69.75639123645331,0.36009048300630836,7,0,none,4.0,8.26,
U037_N0001,U037,2024-01-02 07:06:05.793059,Denver,39.74414728274131,-104.93938624124328,71.8467276139951,0.32446249212380585,7,0,none,4.0,1.94,
U046_N0001,U046,2024-01-02 07:15:09.422486,Houston,29.774099411612617,-95.41979184876502,65.09122784398828,0.246087634398775,7,0,none,4.0,5.65,
U010_N0001,U010,2024-01-02 07:15:38.303829,New York,40.732278460062155,-74.03681587082853,68.73144216409278,0.2970291327994198,7,0,none,2.0,3.81,
U004_N0001,U004,2024-01-02 07:17:23.476808,Houston,29.77758412450874,-95.37572830332205,93.28714930667304,0.2388898014581308,7,0,none,4.0,9.92,
U006_N0001,U006,2024-01-02 07:22:40.895980,Los Angeles,34.004229174922266,-118.23353709490027,64.62629713118942,0.3577247016763198,7,0,none,2.0,7.27,
U047_N0001,U047,2024-01-02 07:26:56.234480,Boston,42.31580296270943,-71.06148130637912,58.43725280438478,0.3412607660373173,7,0,none,3.0,2.31,
U013_N0001,U013,2024-01-02 07:35:19.025883,Houston,29.78136073662635,-95.39924885046152,74.99200267516466,0.3476438733632726,7,0,none,3.0,5.59,
U035_N0001,U035,2024-01-02 07:38:39.200111,Boston,42.32672337833661,-71.05139940469654,64.19848237233235,0.3677141712384078,7,0,none,3.0,9.73,
U045_N0001,U045,2024-01-02 07:39:00.598917,New York,40.68424796313956,-74.00767529247601,60.971765788813116,0.2853610078150381,7,0,none,3.0,9.54,
U019_N0001,U019,2024-01-02 07:44:11.870291,Denver,39.72417118793417,-104.96163004542754,63.198104494426474,0.3569832566184434,7,0,none,2.0,7.3,
U042_N0001,U042,2024-01-02 07:51:29.768318,Seattle,47.59940452551888,-122.32624607955756,57.105450863785784,0.368097855401531,7,0,none,4.0,6.98,
U050_N0001,U050,2024-01-02 08:01:30.838168,Chicago,41.8898375388295,-87.65208037665019,59.3321212634646,0.34784564255171524,8,0,none,3.0,8.42,
U005_N0001,U005,2024-01-02 08:03:31.898191,Houston,29.77134731386392,-95.3836899263366,78.62450276080975,0.2853983774523451,8,0,none,4.0,2.25,
U038_N0001,U038,2024-01-02 08:10:01.427245,Chicago,41.84686307645452,-87.67358081440764,71.24836141367234,0.21680331731273453,8,0,none,2.0,7.14,
U009_N0001,U009,2024-01-02 08:10:29.585137,Atlanta,33.71080445593764,-84.39215089298928,70.60833609267961,0.4969686507762561,8,0,none,5.0,6.69,
U033_N0001,U033,2024-01-02 08:18:22.884276,Seattle,47.649936652892094,-122.32807365855122,59.550692932500866,0.4111850321008094,8,0,none,5.0,6.78,
U018_N0001,U018,2024-01-02 08:20:12.545458,Houston,29.805409391490233,-95.34248390714711,69.84741443632436,0.3734550542273517,8,0,none,5.0,5.93,
U020_N0001,U020,2024-01-02 08:21:45.145880,Boston,42.39574852537362,-71.10998148047045,76.41644556242052,0.17702244564904862,8,0,none,3.0,1.54,
U030_N0001,U030,2024-01-02 08:27:37.254983,Chicago,41.83885190525631,-87.58918460567725,55.030617094834426,0.3962382312415647,8,0,none,2.0,3.19,
U032_N0001,U032,2024-01-02 08:31:29.840095,Chicago,41.92321300733012,-87.63476858252365,53.86403791306529,0.36364293046991797,8,0,none,4.0,1.07,
U043_N0001,U043,2024-01-02 08:37:09.379998,Houston,29.72165207472914,-95.33103909726844,70.9497926439613,0.3742932938201518,8,0,none,3.0,6.99,
U044_N0001,U044,2024-01-02 08:40:00.190499,Chicago,41.8640024135296,-87.58829757476221,68.2650139640654,0.4588673287633357,8,0,none,5.0,7.6,
U029_N0001,U029,2024-01-02 08:50:01.464711,Chicago,41.84907922654759,-87.59928202297975,60.15716077664323,0.4261353882306164,8,0,none,5.0,3.06,
U017_N0001,U017,2024-01-02 08:53:53.997363,Atlanta,33.75429263890998,-84.41399372519578,68.4693984131182,0.3527173665704441,8,0,none,3.0,8.66,
U023_N0001,U023,2024-01-02 08:56:01.632832,Atlanta,33.77564776788404,-84.42894208129313,56.14756592644598,0.3157615322475073,8,0,none,2.0,2.4,
U048_N0001,U048,2024-01-02 08:58:02.256158,Chicago,41.90517834544377,-87.67954311374092,46.12564546892757,0.33054983714246705,8,0,none,3.0,2.62,
U008_N0001,U008,2024-01-02 08:58:35.517564,Chicago,41.847349605035504,-87.64202484770806,51.34518918619611,0.44093168091937646,8,0,none,4.0,5.9,
U007_N0001,U007,2024-01-02 09:01:08.288104,Chicago,41.90997187639649,-87.6466393210971,69.04346090389464,0.38784609782298834,9,0,none,3.0,2.86,
U022_N0001,U022,2024-01-02 09:04:24.738289,Los Angeles,34.08606518873876,-118.237817677505,53.27553280794958,0.3482571722196258,9,0,none,2.0,9.55,
U015_N0001,U015,2024-01-02 09:21:45.865607,New York,40.694980335451156,-74.01751714668231,84.59524794222709,0.4976227817586954,9,0,none,5.0,9.44,
U003_N0001,U003,2024-01-02 09:44:18.851951,Boston,42.339700287645485,-71.02471781783082,74.04322718930275,0.416909653485285,9,0,none,5.0,0.67,
U011_N0001,U011,2024-01-02 09:44:37.378217,New York,40.70568880717373,-74.01248916350683,68.03098056720114,0.21517348276471243,9,0,none,3.0,7.05,
U026_N0001,U026,2024-01-02 09:44:57.452916,Los Angeles,34.083937086353785,-118.19555121201547,60.62180529028323,0.33949002763484,9,0,none,5.0,8.89,
U001_N0001,U001,2024-01-02 09:47:38.060735,Chicago,41.85123391106783,-87.66181750327928,66.11681239531916,0.30612347143155655,9,0,none,3.0,0.57,
U039_N0001,U039,2024-01-02 09:49:32.235937,Atlanta,33.795475367894596,-84.36838649368464,65.1984616110733,0.35709602843075106,9,0,none,4.0,9.08,
U014_N0001,U014,2024-01-02 09:51:13.264883,Houston,29.772786382600213,-95.38347720737431,75.57608382040316,0.37493457927527357,9,0,none,2.0,7.53,
U034_N0001,U034,2024-01-02 09:53:41.241181,Seattle,47.572104877617235,-122.35783908117608,74.86836584657645,0.2971630237800429,9,0,none,5.0,3.03,
U040_N0001,U040,2024-01-02 09:55:20.981239,Chicago,41.89230710334026,-87.60632436546685,56.8356859229486,0.37357275999372763,9,0,none,5.0,7.94,
U025_N0001,U025,2024-01-02 09:58:19.355696,Boston,42.31349058590731,-71.05583584921669,71.35619129627239,0.31367759692286307,9,0,none,2.0,1.31,
U021_N0001,U021,2024-01-02 10:12:36.854391,New York,40.66090056642645,-74.03645285829892,56.26640697221137,0.27240913101456327,10,0,none,4.0,5.34,
U024_N0001,U024,2024-01-02 10:20:03.285061,Seattle,47.600358947076515,-122.33956253004291,71.7820971416373,0.3468063349589434,10,0,none,4.0,6.0,
U006_N0002,U006,2024-01-03 06:05:44.712490,Los Angeles,34.067610823141436,-118.19560176946368,69.1801526904247,0.33389218300791124,6,0,none,4.0,6.62,
U005_N0002,U005,2024-01-03 06:08:56.368025,Houston,29.754032341836837,-95.35847019749302,69.71068700008665,0.27905487935104195,6,0,none,5.0,9.89,
U008_N0002,U008,2024-01-03 06:25:18.235227,Chicago,41.91564934027626,-87.5964934054545,56.62468121596152,0.3827001018586324,6,0,none,3.0,0.68,
U016_N0002,U016,2024-01-03 06:33:11.528975,Houston,29.737523610593115,-95.41247979712372,59.10396265557092,0.3418175679298764,6,0,none,4.0,7.21,
U049_N0002,U049,2024-01-03 06:33:53.476092,Houston,29.799545577823498,-95.3263621971142,62.47430154718303,0.25245867356404633,6,0,none,4.0,6.49,
